,module_colors
asph,turquoise
asphd2,blue
aspm,blue
aspscr1,turquoise
asrgl1,turquoise
ass1,grey
aste1b,brown
asxl1,turquoise
asxl2,turquoise
asz1,brown
atad1a,turquoise
atad1b,turquoise
atad2b,yellow
atad3_ChrAur1,turquoise
atad3_ChrAur2,turquoise
atad5a,black
atad5b,turquoise
atat1,turquoise
atcaya,blue
ate1,turquoise
atf1,turquoise
atf2,turquoise
atf3,grey
atf4a,turquoise
atf4b,turquoise
atf5a,turquoise
atf5b,turquoise
atf6,blue
atf6b,grey
atf7a_ChrAur1,turquoise
atf7a_ChrAur2,turquoise
atf7ip,turquoise
atf7ip2,turquoise
atg10,turquoise
atg101,turquoise
atg12,turquoise
atg13,turquoise
atg14,yellow
atg16l1,turquoise
atg16l2,grey
atg2a,turquoise
atg2b_ChrAur1,turquoise
atg2b_ChrAur2,turquoise
atg3,grey
atg4b,turquoise
atg4c,blue
atg4da,turquoise
atg4db,turquoise
atg5,turquoise
atg7,turquoise
atg9a,blue
atg9b,turquoise
atic,blue
atl1,turquoise
atl2_ChrAur1,turquoise
atl2_ChrAur2,turquoise
atl3,turquoise
atm,grey
atmin,blue
atn1,blue
atoh8,turquoise
atox1,grey
atp10a,green
atp10d,blue
atp11a_ChrAur1,blue
atp11a_ChrAur2,blue
atp11b,blue
atp11c,turquoise
atp13a1,turquoise
atp13a2,blue
atp13a3,turquoise
atp1a1a.4,blue
atp1a1b,turquoise
atp1a3a,blue
atp1a3b,blue
atp1b1b_ChrAur1,turquoise
atp1b1b_ChrAur2,turquoise
atp1b4,turquoise
atp23,blue
atp2a1l,brown
atp2a2b_ChrAur1,blue
atp2a2b_ChrAur2,turquoise
atp2a3,blue
atp2b1a,turquoise
atp2b1b,turquoise
atp2b2,blue
atp2b3b,brown
atp2c1,turquoise
atp5f1b_ChrAur1,turquoise
atp5f1b_ChrAur2,turquoise
atp5f1c,turquoise
atp5f1d,turquoise
atp5f1e,yellow
atp5fa1_ChrAur1,turquoise
atp5fa1_ChrAur2,turquoise
atp5if1a,yellow
atp5if1b,turquoise
atp5l_ChrAur1,turquoise
atp5l_ChrAur2,yellow
atp5mc1,turquoise
atp5mc3b_ChrAur1,turquoise
atp5mc3b_ChrAur2,turquoise
atp5md,turquoise
atp5mea,turquoise
atp5meb,blue
atp5mf_ChrAur1,turquoise
atp5mf_ChrAur2,turquoise
atp5mj,turquoise
atp5pb,turquoise
atp5pd_ChrAur1,yellow
atp5pd_ChrAur2,turquoise
atp5pf_ChrAur1,yellow
atp5pf_ChrAur2,turquoise
atp5po,turquoise
atp6ap1a,turquoise
atp6ap1b,turquoise
atp6ap1lb,blue
atp6ap2,turquoise
atp6v0a1a,turquoise
atp6v0a1b,brown
atp6v0a2a,grey
atp6v0a2b,turquoise
atp6v0b,turquoise
atp6v0cb_ChrAur1,turquoise
atp6v0cb_ChrAur2,brown
atp6v0d1,turquoise
atp6v0e1,turquoise
atp6v1aa,turquoise
atp6v1ab,turquoise
atp6v1b2,turquoise
atp6v1ba,turquoise
atp6v1c1a_ChrAur1,grey
atp6v1c1a_ChrAur2,blue
atp6v1c2,brown
atp6v1d,brown
atp6v1e1b_ChrAur1,turquoise
atp6v1e1b_ChrAur2,turquoise
atp6v1f,turquoise
atp6v1g1,brown
atp6v1h,turquoise
atp7a,grey
atp7b,turquoise
atp8a2,grey
atp8b1,turquoise
atp8b2,blue
atp8b3,turquoise
atp8b4,yellow
atp8b5a,blue
atp8b5b,grey
atp9a,yellow
atp9b,turquoise
atpaf1,turquoise
atpaf2,turquoise
atpsckmt,turquoise
atr,grey
atraid,grey
atrip,turquoise
atrn,grey
atrnl1b_ChrAur1,turquoise
atrnl1b_ChrAur2,grey
atrx,turquoise
atxn10,blue
atxn1a,blue
atxn1l,turquoise
atxn2,turquoise
atxn2l_ChrAur1,turquoise
atxn2l_ChrAur2,turquoise
atxn3,turquoise
atxn7,blue
atxn7l2a,turquoise
atxn7l2b,turquoise
atxn7l3a,turquoise
atxn7l3b,turquoise
auh,turquoise
aunip,turquoise
aup1,turquoise
aurka,turquoise
aurkaip1,turquoise
aurkb,turquoise
auts2a,blue
aven,turquoise
avil,turquoise
avl9,turquoise
avpr1aa,turquoise
avpr1ab,blue
avpr2b.1_ChrAur2,grey
avpr2l,grey
axdnd1,brown
axin1,brown
axin2_ChrAur1,turquoise
axin2_ChrAur2,blue
azi2,turquoise
azin1a,blue
azin1b,turquoise
b2m_ChrAur1,blue
b2m_ChrAur2,blue
b3galnt2,grey
b3galt1b_ChrAur1,turquoise
b3galt1b_ChrAur2,turquoise
b3galt2,turquoise
b3galt4,turquoise
b3galt6,turquoise
b3gat2,grey
b3gat3,grey
b3glcta,blue
b3glctb,turquoise
b3gnt2b_ChrAur1,blue
b3gnt2b_ChrAur2,turquoise
b3gnt3.4,turquoise
b3gnt5a_ChrAur1,turquoise
b3gnt9,blue
b3gntl1,brown
b4galnt3b,turquoise
b4galnt4a,turquoise
b4galt1l,turquoise
b4galt2,turquoise
b4galt4,blue
b4galt5,turquoise
b4galt6,turquoise
b4galt7,turquoise
b4gat1,turquoise
b9d1,blue
b9d2,turquoise
babam1,blue
babam2,turquoise
bace1,turquoise
bace2,turquoise
bach1a,grey
bach1b,blue
bach2b,blue
badb,turquoise
bag1,turquoise
bag2,blue
bag3,blue
bag4_ChrAur1,turquoise
bag4_ChrAur2,turquoise
bag5,turquoise
bag6,turquoise
bag6l,turquoise
bahcc1b_ChrAur1,blue
bahcc1b_ChrAur2,blue
bahd1_ChrAur1,blue
bahd1_ChrAur2,turquoise
baiap2a,turquoise
baiap2b,turquoise
baiap2l1a,turquoise
baiap2l1b,grey
baiap2l2b,turquoise
bambia,blue
banf1,turquoise
banp,turquoise
bap1,turquoise
bard1,turquoise
basp1,turquoise
baxa,turquoise
baxb,turquoise
baz1a,turquoise
baz1b,yellow
baz2a,grey
baz2ba_ChrAur1,blue
baz2ba_ChrAur2,turquoise
bbc3,turquoise
bbip1,blue
bbln,turquoise
bbof1a,grey
bbox1,grey
bbs1,turquoise
bbs10,brown
bbs12_ChrAur1,turquoise
bbs2,grey
bbs4,turquoise
bbs5,turquoise
bbs7,turquoise
bbs9,grey
bcam,blue
bcap29_ChrAur1,brown
bcap31,turquoise
bcar1,turquoise
bcar3,turquoise
bcas2,turquoise
bcas3,grey
bcat2,grey
bccip,turquoise
bcdin3d,turquoise
bckdha,turquoise
bckdhb,turquoise
bckdk,turquoise
bcl10,turquoise
bcl11aa,blue
bcl11ab,turquoise
bcl11ba,turquoise
bcl11bb,turquoise
bcl2b,blue
bcl2l10,turquoise
bcl2l11,blue
bcl2l13,turquoise
bcl3,turquoise
bcl6aa,turquoise
bcl6b,blue
bcl7a,turquoise
bcl7bb,turquoise
