,MEblack,MEblack_p,MEblue,MEblue_p,MEgreen,MEgreen_p,MEturquoise,MEturquoise_p,MEred,MEred_p,MEbrown,MEbrown_p,MEyellow,MEyellow_p,MEgrey,MEgrey_p,module_colors
atrnl1b_ChrAur1,0.043801127,0.850468259,0.419748292,0.058183451,-0.731848344,0.0001627,-0.475787932,0.029250538,-0.029809782,0.897936314,-0.065607712,0.777524359,-0.015301199,0.947514117,-0.29673311,0.191487836,turquoise
snx4_ChrAur1,0.072559075,0.754615615,0.340841365,0.130537415,-0.72861393,0.000179793,-0.476051926,0.029148417,-0.042641495,0.854385879,-0.049565612,0.831045904,-0.078157757,0.736306869,-0.31219125,0.168276533,turquoise
nitr12_ChrAur5,0.508716634,0.018522651,0.462511385,0.034761648,-0.243547092,0.287393809,-0.436459953,0.047914487,0.216323418,0.346277267,0.073531475,0.751426277,-0.36432253,0.104445578,-0.039334653,0.865575317,grey
g7073,0.181294156,0.431590707,0.480481485,0.027476541,-0.471433623,0.030976028,-0.477193565,0.028710035,-0.082391754,0.722551079,0.049755643,0.83040718,-0.050880008,0.826630119,-0.269865131,0.23678533,turquoise
nkain2,-0.680466565,0.000687068,-0.727401828,0.000186585,0.093505234,0.686843797,0.659907024,0.001133797,0.119943484,0.604549437,-0.18309807,0.426943421,0.272389375,0.232257573,0.23013683,0.315573088,blue
nkain4,0.125297544,0.588392641,0.766652323,5.04E-05,-0.137430393,0.552477674,-0.805829777,1.04E-05,0.391596502,0.07916879,0.789215558,2.11E-05,0.363642853,0.105142637,0.267111351,0.241789713,blue
nkap,0.11537361,0.618482409,-0.237513704,0.299872435,0.904299834,1.87E-08,0.38878516,0.081539098,0.040300814,0.862303439,0.133374364,0.564373511,-0.00415339,0.985744366,0.260271402,0.254513535,green
g17544,0.149572034,0.517560462,0.582150681,0.005626759,0.425606375,0.054409012,-0.477882348,0.028448077,0.131089142,0.571125232,0.714443847,0.000274166,0.370503147,0.098260783,0.205294484,0.372000045,turquoise
smndc1,0.174249318,0.449995165,0.531057339,0.013244583,0.155558867,0.50073934,-0.478134507,0.028352649,0.168542139,0.465198989,0.511134498,0.017880855,0.208531246,0.364340769,0.073463943,0.751647648,turquoise
nkd2b,0.437705248,0.047209383,0.951913935,3.27E-11,-0.228697315,0.318693627,-0.880884088,1.36E-07,0.008946306,0.969299152,0.492709407,0.023252538,0.048622223,0.834218302,-0.131814548,0.568978189,blue
nkiras1,-0.449682779,0.04082932,0.019444149,0.933330231,0.483287897,0.026457211,0.048062638,0.836101231,0.044334084,0.848668885,0.49550352,0.022364141,0.680649259,0.000683898,0.296487476,0.191873261,yellow
nkiras2,0.505938774,0.019282694,0.957926063,9.42E-12,-0.426893421,0.053605473,-0.924986876,2.01E-09,0.110929068,0.63215525,0.404360055,0.069049684,-0.080972016,0.727154714,-0.143639547,0.534489294,blue
LOC119006323,-0.05966597,0.79724845,0.499715996,0.021076159,0.261600912,0.252007514,-0.478323923,0.028281133,0.263895124,0.247720387,0.802592461,1.20E-05,0.498022812,0.021586534,0.345578226,0.124933997,turquoise
il13ra2,-0.074054552,0.749712263,0.499233627,0.021220566,0.290309034,0.201740569,-0.479727286,0.027755708,0.265692581,0.244394487,0.809454219,8.81E-06,0.53336658,0.012777157,0.378900064,0.090294138,turquoise
nkx2.5,0.275363205,0.226996263,0.363260388,0.10553637,0.533823127,0.01268635,-0.227180639,0.322001426,0.034777472,0.881035786,0.403394717,0.069779033,0.124229185,0.591601928,0.129787618,0.574986309,grey
g16858,0.46341519,0.034362441,0.494338952,0.022731069,-0.186650369,0.417870729,-0.479733608,0.027753359,0.241678606,0.291223397,0.214257537,0.351014412,-0.286616427,0.207797194,0.007906995,0.972864387,turquoise
LOC119012733,0.59187135,0.004706282,0.414455725,0.061762273,-0.565915364,0.007493779,-0.4805679,0.027444697,-0.192894728,0.402178303,-0.256377714,0.261944111,-0.550007722,0.009789962,-0.414240652,0.06191116,turquoise
nle1,0.002545193,0.991263895,0.102827981,0.657373836,0.164310271,0.476639493,-0.08185657,0.72428539,-0.131791595,0.569046069,0.161055031,0.485535025,0.114796799,0.620250153,-0.132405822,0.567230771,grey
g3241,-0.016002975,0.945110313,0.561455495,0.008087453,0.330102145,0.143899468,-0.480589924,0.027436586,0.024987422,0.914383266,0.704428893,0.000364102,0.519083637,0.015895721,0.137983188,0.550865192,turquoise
nlgn2b,0.546246862,0.010409288,0.596562517,0.004308988,-0.717204083,0.000253024,-0.634912233,0.001987499,0.151942152,0.510869226,-0.08905679,0.701064485,-0.473253078,0.030245536,-0.198224809,0.389044563,blue
plxnc1_ChrAur3,0.293126669,0.197199381,0.475851057,0.029226093,-0.268619689,0.239040248,-0.481157251,0.027228298,-0.096182795,0.678332696,0.074348462,0.74874968,-0.040994505,0.859955611,-0.281699409,0.216048308,turquoise
nlgn4xb,0.652827465,0.001335878,0.777152559,3.40E-05,-0.490374868,0.02401617,-0.728367179,0.000181158,-0.233793913,0.307728624,0.002549055,0.99125064,-0.399017916,0.073158896,-0.478648207,0.028159027,blue
nlk1,-0.35070189,0.119069179,0.202286671,0.379199011,0.285385591,0.209842632,-0.233985663,0.307320618,0.013074998,0.955142363,0.617809338,0.002840891,0.654603068,0.001282537,0.206125101,0.370025838,yellow
g18662,-0.087109286,0.707320958,0.459986849,0.035896002,-0.485347404,0.025728422,-0.482101432,0.026884431,0.287621174,0.206137354,0.319960905,0.15737531,0.193819659,0.399881867,0.189990375,0.409436306,turquoise
LOC119017258,0.362715265,0.106099407,0.502002808,0.020402207,-0.22344702,0.330231541,-0.483289403,0.026456673,-0.004664428,0.983990538,0.18151041,0.431032171,-0.166851987,0.46975127,-0.105074297,0.650343634,turquoise
nlrb5_ChrAur1,0.329857761,0.14421432,0.859700332,5.92E-07,-0.387778069,0.082400928,-0.832446619,2.86E-06,-0.097319842,0.674729689,0.3737368,0.095134069,0.079942456,0.730498836,-0.276979878,0.224169058,blue
nlrb5_ChrAur4,0.525936754,0.014330622,0.809194879,8.92E-06,-0.258622315,0.257643975,-0.743677969,0.000111533,0.095234117,0.681343991,0.295290879,0.193758337,-0.163037578,0.480107559,-0.097203137,0.675099184,blue
