date,average_temperature
4/01/2021,20.28
5/01/2021,20.6
6/01/2021,21.29
7/01/2021,21.53
8/01/2021,20.98
9/01/2021,20.46
10/01/2021,20.79
11/01/2021,21.15
12/01/2021,21.81
13/01/2021,21.98
14/01/2021,21.97
15/01/2021,22.16
16/01/2021,22.36
17/01/2021,22.18
18/01/2021,21.7
19/01/2021,21.11
20/01/2021,20.2
21/01/2021,19.84
22/01/2021,19.63
23/01/2021,19.92
24/01/2021,19.84
25/01/2021,19.66
26/01/2021,20.08
27/01/2021,20.88
28/01/2021,21.15
29/01/2021,20.51
30/01/2021,20.11
31/01/2021,20.27
1/02/2021,20.66
2/02/2021,21.16
3/02/2021,21.44
4/02/2021,21.42
5/02/2021,20.94
6/02/2021,20.85
7/02/2021,20.98
8/02/2021,21.55
9/02/2021,21.51
10/02/2021,20.28
11/02/2021,19.84
12/02/2021,
13/02/2021,
14/02/2021,
15/02/2021,19.6
16/02/2021,19.79
17/02/2021,19.16
18/02/2021,19.12
19/02/2021,20.63
20/02/2021,20.78
21/02/2021,21.35
22/02/2021,21.49
23/02/2021,21.69
24/02/2021,21.36
25/02/2021,20.67
26/02/2021,20.9
27/02/2021,21.15
28/02/2021,21.1
1/03/2021,20.97
2/03/2021,20.61
3/03/2021,20.4
4/03/2021,20.15
5/03/2021,19.97
6/03/2021,
7/03/2021,
8/03/2021,19.26
9/03/2021,19.05
10/03/2021,18.99
11/03/2021,19.24
12/03/2021,19.21
13/03/2021,19.13
14/03/2021,19.11
15/03/2021,19.17
16/03/2021,19.36
17/03/2021,19.22
18/03/2021,19.04
19/03/2021,18.79
20/03/2021,18.92
21/03/2021,19.18
22/03/2021,19.15
23/03/2021,19.18
24/03/2021,19.3
25/03/2021,19.26
26/03/2021,19.31
27/03/2021,19.19
28/03/2021,19.02
29/03/2021,18.99
30/03/2021,18.96
31/03/2021,18.94
1/04/2021,18.84
2/04/2021,18.58
3/04/2021,18.28
4/04/2021,18.25
5/04/2021,18.56
6/04/2021,18.62
7/04/2021,18.62
8/04/2021,18.61
9/04/2021,18.48
10/04/2021,18.08
11/04/2021,18.15
12/04/2021,18.25
13/04/2021,18.09
14/04/2021,17.88
15/04/2021,17.75
16/04/2021,17.73
17/04/2021,17.61
18/04/2021,17.22
19/04/2021,16.81
20/04/2021,16.59
21/04/2021,16.77
22/04/2021,17.02
23/04/2021,17.06
24/04/2021,17.11
25/04/2021,16.61
26/04/2021,16.27
27/04/2021,15.96
28/04/2021,15.79
29/04/2021,15.6
30/04/2021,15.53
1/05/2021,15.47
2/05/2021,15.41
3/05/2021,15.27
4/05/2021,15.21
5/05/2021,15.11
6/05/2021,15.07
7/05/2021,14.93
8/05/2021,14.87
9/05/2021,15.43
10/05/2021,15.91
11/05/2021,16.26
12/05/2021,15.78
13/05/2021,15.08
14/05/2021,14.61
15/05/2021,14.75
16/05/2021,14.53
17/05/2021,14.67
18/05/2021,14.32
19/05/2021,13.6
20/05/2021,13.49
21/05/2021,13.48
22/05/2021,13.56
23/05/2021,13.43
24/05/2021,13.27
25/05/2021,13.0
26/05/2021,12.49
27/05/2021,12.32
28/05/2021,12.5
29/05/2021,12.63
30/05/2021,12.84
31/05/2021,13.07
1/06/2021,13.09
2/06/2021,13.02
3/06/2021,12.79
4/06/2021,12.59
5/06/2021,12.52
6/06/2021,12.85
7/06/2021,13.19
8/06/2021,13.34
9/06/2021,13.32
10/06/2021,13.3
11/06/2021,13.39
12/06/2021,13.34
13/06/2021,13.51
14/06/2021,13.7
15/06/2021,13.74
16/06/2021,13.87
17/06/2021,13.72
18/06/2021,13.5
19/06/2021,13.12
20/06/2021,12.92
21/06/2021,13.14
22/06/2021,12.9
23/06/2021,12.7
24/06/2021,12.64
25/06/2021,12.67
26/06/2021,13.06
27/06/2021,13.17
28/06/2021,12.83
29/06/2021,12.05
30/06/2021,11.37
1/07/2021,11.35
2/07/2021,11.28
3/07/2021,11.13
4/07/2021,10.97
5/07/2021,10.78
6/07/2021,10.95
7/07/2021,11.62
8/07/2021,11.48
9/07/2021,10.91
10/07/2021,10.62
11/07/2021,10.45
12/07/2021,10.33
13/07/2021,10.24
14/07/2021,10.22
15/07/2021,10.22
16/07/2021,10.94
17/07/2021,11.52
18/07/2021,11.83
19/07/2021,12.11
20/07/2021,12.14
21/07/2021,12.07
22/07/2021,12.07
23/07/2021,12.06
24/07/2021,11.93
25/07/2021,11.98
26/07/2021,11.93
27/07/2021,11.93
28/07/2021,11.78
29/07/2021,11.9
30/07/2021,12.21
31/07/2021,12.4
1/08/2021,12.3
2/08/2021,12.43
3/08/2021,12.37
4/08/2021,11.94
5/08/2021,11.87
6/08/2021,12.02
7/08/2021,11.99
8/08/2021,11.52
9/08/2021,11.3
10/08/2021,11.2
11/08/2021,11.4
12/08/2021,11.69
13/08/2021,11.91
14/08/2021,11.74
15/08/2021,11.49
16/08/2021,11.62
17/08/2021,11.82
18/08/2021,11.67
19/08/2021,11.59
20/08/2021,11.66
21/08/2021,11.71
22/08/2021,11.46
23/08/2021,11.9
24/08/2021,12.27
25/08/2021,12.45
26/08/2021,12.51
27/08/2021,12.5
28/08/2021,12.46
29/08/2021,12.8
30/08/2021,12.82
